;marca;preco
0;Cadeira Gamer Prizi JX-1039B, até 120 kg, com Almofadas na lombar e pescoço, Azul;R$ 439,90
1;Cadeira Gamer Prizi Escritório, Infinity - Branca;R$ 369,90
2;Cadeira Gamer Husky Gaming Tempest 500, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA078;R$ 1.099,99
3;Cadeira Gamer Prizi Pz1006e, até 120 Kg, Ângulo ajustável do encosto, Vermelha;R$ 458,90
4;Cadeira Gamer Husky Gaming Tempest 700, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA074;R$ 1.499,99
5;Cadeira Gamer Vermelha Prizi - Jx-1039r;R$ 439,00
6;Cadeira Gamer Husky Gaming Snow, Preto, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BK;R$ 474,99
7;Cadeira Gamer Husky Gaming Tempest 700, Branco,  Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA077;R$ 1.499,99
8;Cadeira Gamer Mymax Mx5 ,Peso Suportado até 150Kg, Giratória, Preto;R$ 679,15
9;Cadeira Gamer Prizi, Amarela, Com Almofadas - JX-1039Y;R$ 439,00
10;Cadeira Gamer Fox Racer Nordic, 125kg, Courino, Encostos Ajustável, Preto;R$ 469,49
11;Cadeira Gamer, Prizi Infinity, Até 150Kg - Vermelha;R$ 359,90
12;Cadeira Gamer Husky Gaming Hailstorm, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HHA-BK;R$ 859,99
13;Cadeira Gamer Mymax MX5, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto - MGCH-MX5/BK;R$ 694,99
14;Cadeira Gamer ThunderX3 TGC12, Até 120kg, com Almofadas, Reclinável, Preto;R$ 1.179,99
15;Cadeira Gamer Husky Gaming Tempest 500, Preto e Branco, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA082;R$ 1.299,99
16;Cadeira Gamer Prizi Jx-1039g, até 120 kg, com Almofadas para Pescoço e Lombar, Regulagem de altura, Verde;R$ 439,90
17;Cadeira Gamer Husky Gaming Blizzard RGB, Preto, Luz RGB, Com Almofadas, Reclinável - HBL-RGB;R$ 826,49
18;Cadeira Gamer Husky Gaming Tempest 500, Preto e Azul, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA081;R$ 999,99
19;Cadeira Gamer Husky Gaming Blizzard, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HGMA005;R$ 719,99
20;Cadeira Gamer Prizi Pz1005, Até 120Kg, Roxa;R$ 439,00
21;Cadeira Gamer Husky Gaming Storm, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BK;R$ 859,99
22;Cadeira Gamer Prizi, Peso Suportado até  120Kg, Almofadas de Pescoço e Lombar, Azul - Pz1005;R$ 369,90
23;Cadeira Gamer Mymax Mx5, Suportado até 150Kg, Giratória, Preto e Branco;R$ 679,15
24;Cadeira Gamer MX6, Giratória, Azul e Preto, Mymax;R$ 594,15
25;Cadeira Gamer ThunderX3 TGC12, Preto e Vermelho, Reclinável, com Almofadas, Cilindro de Gás Classe 4;R$ 1.099,99
