Municipio;UF;Total;count;mean;std;min;25%;50%;75%;max
ABADIA DE GOIAS;GO;1415872;1888;749.93;196.19;180;650;750;840;2754
ABADIA DOS DOURADOS;MG;275468;412;668.61;152.75;220;600;650;750;1502
ABADIANIA;GO;985525;1424;692.08;201.27;180;600;650;800;1778
ABAETE;MG;991458;1433;691.88;155.76;205;600;650;750;1418
ABAETETUBA;PA;28797725;42327;680.36;138.17;180;600;640;750;2412
ABAIARA;CE;1480596;2184;677.93;136.46;205;600;650;750;1586
ABAIRA;BA;1260560;1939;650.11;101.87;300;600;600;650;1586
ABARE;BA;3467285;5107;678.93;150.09;280;600;640;750;2262
ABATIA;PR;297088;448;663.14;219.88;205;590;650;790;1828
ABDON BATISTA;SC;117139;164;714.26;181.83;300;600;650;770;1394
ABEL FIGUEIREDO;PA;1116862;1578;707.77;158.48;255;600;650;750;1786
ABELARDO LUZ;SC;1129040;1610;701.27;177.46;180;600;650;800;1694
ABRE CAMPO;MG;865495;1247;694.06;149.39;288;600;650;750;2178
ABREU E LIMA;PE;13575566;20989;646.79;135.37;180;600;600;700;2746
ABREULANDIA;TO;140230;212;661.46;251.17;205;450;650;800;1402
ACAIACA;MG;310844;462;672.82;168.66;205;600;650;750;1486
ACAILANDIA;MA;7490428;10595;706.98;180.88;180;600;700;800;2028
ACAJUTIBA;BA;2229352;3344;666.67;154.4;205;600;640;750;2404
ACARA;PA;9274710;12840;722.33;189.19;180;600;700;800;2454
ACARAPE;CE;1833869;2751;666.62;166.6;180;600;650;750;1728
ACARAU;CE;9221782;13621;677.03;165.16;180;600;650;750;2120
ACARI;RN;840173;1347;623.74;161.92;180;553;600;700;1510
ACAUA;PI;1083481;1626;666.35;123.14;280;600;650;750;1294
ACEGUA;RS;195672;270;724.71;172.08;300;600;700;800;1570
ACOPIARA;CE;6369844;9582;664.77;135.33;180;600;650;750;1678
ACORIZAL;MT;662407;972;681.49;134.01;205;600;650;750;1436
ACRELANDIA;AC;1671065;2296;727.82;192.59;230;600;700;800;2220
ACREUNA;GO;902221;1281;704.31;192.08;180;600;700;800;1758
ACU;RN;6315460;9739;648.47;145.23;180;600;600;750;2312
ACUCENA;MG;746390;1084;688.55;154.56;205;600;650;750;1578
ADAMANTINA;SP;455314;683;666.64;182.28;180;600;650;750;1970
ADELANDIA;GO;133017;194;685.65;177.49;205;600;690;784;1358
ADOLFO;SP;129998;198;656.56;182.41;230;600;650;750;1544
ADRIANOPOLIS;PR;309324;456;678.34;202.12;180;600;650;750;1778
ADUSTINA;BA;2562524;3989;642.4;129.89;180;600;600;700;1728
AFOGADOS DA INGAZEIRA;PE;4300847;6419;670.02;138.75;205;600;650;750;2646
AFONSO BEZERRA;RN;2151873;3404;632.16;130.28;180;600;600;650;1636
AFONSO CLAUDIO;ES;1746141;2560;682.09;195.25;205;600;650;750;2654
AFONSO CUNHA;MA;1399254;1862;751.48;205.41;300;600;700;800;2062
AFRANIO;PE;3278863;4912;667.52;141.71;205;600;600;750;2020
AFUA;PA;6317240;7781;811.88;257.42;205;650;750;900;3264
AGRESTINA;PE;4235623;6388;663.06;131.53;205;600;600;750;2070
AGRICOLANDIA;PI;707774;1022;692.54;161.22;300;600;650;750;1644
AGROLANDIA;SC;105815;149;710.17;223.07;180;600;700;800;1352
AGRONOMICA;SC;37995;48;791.56;272.75;305;650;736;910;1714
AGUA AZUL DO NORTE;PA;2127387;3027;702.8;153.13;205;600;650;758;1778
AGUA BOA;MG;1431994;2114;677.39;180.58;180;600;650;750;2204
AGUA BOA;MT;648375;947;684.66;238.72;205;578;700;800;2304
AGUA BRANCA;AL;2376633;3218;738.54;199.36;205;600;700;800;1978
AGUA BRANCA;PB;1273248;1864;683.07;147.19;300;600;650;750;1786
AGUA BRANCA;PI;2405828;3626;663.49;138.26;205;600;640;750;1928
AGUA CLARA;MS;1145622;1583;723.7;162.94;300;600;700;800;1886
AGUA COMPRIDA;MG;129129;186;694.24;134.62;300;600;700;750;1144
AGUA DOCE;SC;61391;89;689.79;299.88;255;455;650;842;1686
