;UF;Recursos;Beneficiarios;Media;Desvio;Minimo;Perc_1;Mediana;Perc_99;Maximo;zscore;Municipios;Perc_recursos_BR;pop_2022;Auxilio;BR;Per_municipio;Per_beneficiario;Flag
0;AC;93176756;126122;738.7827341780181;225.00216273599713;180;325;700;1586;2988;0.3344962754255212;22;0.6718633360787706;830026;15.19494570049613;0.4087539309077394;4235307;738.7827341780181;https://raw.githubusercontent.com/bgeneto/bandeiras-br/master/imagens/AC.png
1;AL;361330074;526257;686.6038342482856;159.5563039564849;50;330;650;1252;2930;0.02130453091729061;102;2.6054183399905986;3127511;16.826703407278185;1.5401715310209498;3542451;686.6038342482856;https://raw.githubusercontent.com/bgeneto/bandeiras-br/master/imagens/AL.png
2;AM;449870442;605270;743.2558064995787;216.63971373075017;25;325;700;1586;3614;0.36134485455592885;62;3.2438503865207657;3941175;15.357602745374157;1.9408678446763232;7255974;743.2558064995787;https://raw.githubusercontent.com/bgeneto/bandeiras-br/master/imagens/AM.png
3;AP;86482825;119890;721.3514471598966;196.08997698231593;50;325;690;1444;2854;0.22986901809389754;16;0.623595860302504;733508;16.344743342949226;0.3612227548923457;5405176;721.3514471598966;https://raw.githubusercontent.com/bgeneto/bandeiras-br/master/imagens/AP.png
4;BA;1648611324;2470608;667.2897213965146;146.9562928477232;25;325;650;1194;3214;-0.09462395178014078;417;11.887530233826544;14136417;17.47690380101266;6.961608452868938;3953504;667.2897213965146;https://raw.githubusercontent.com/bgeneto/bandeiras-br/master/imagens/BA.png
5;CE;967902757;1443716;670.4246243721065;152.06422684090245;50;325;650;1202;2888;-0.07580742377529862;184;6.979190983187476;8791688;16.421374370883044;4.329547543467797;5260341;670.4246243721065;https://raw.githubusercontent.com/bgeneto/bandeiras-br/master/imagens/CE.png
6;DF;115459144;164720;700.9418649830014;172.7375966730267;180;325;650;1302;2746;0.10736523485442903;1;0.8325334450218375;2817068;5.847214195752463;1.3872910229732605;115459144;700.9418649830014;https://raw.githubusercontent.com/bgeneto/bandeiras-br/master/imagens/DF.png
7;ES;199195634;289201;688.7792020082918;175.9120514369289;50;300;650;1260;3548;0.03436167134418353;78;1.436326493182117;3833486;7.54407346211777;1.8878354070592802;2553790;688.7792020082918;https://raw.githubusercontent.com/bgeneto/bandeiras-br/master/imagens/ES.png
8;GO;329398276;473356;695.8785269437801;177.5937009076121;50;300;650;1252;2930;0.07697372265938193;246;2.3751698826256153;7055228;6.709294157467342;3.4744118599301084;1339017;695.8785269437801;https://raw.githubusercontent.com/bgeneto/bandeiras-br/master/imagens/GO.png
9;MA;834291076;1178528;707.909422601754;179.72999038042133;25;325;650;1352;4514;0.1491863834128963;217;6.015766266665338;6775152;17.39485697147459;3.3364858600783984;3844659;707.909422601754;https://raw.githubusercontent.com/bgeneto/bandeiras-br/master/imagens/MA.png
